sourcetype,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc,exclude,exclude_reason,reviewed_by,reviewed_date,provenance
fgt_vpn,security,VPN,high,"Authentication.Authentication, Network_Sessions.All_Sessions",Fortinet,FortiGate VPN logs,Fortinet FortiGate VPN log - SSL VPN and IPsec session events including dial-up tunnel state and remote user logon. Feeds Authentication and VPN data models.,N,,MDI Reference,4/3/2026,human_curated
fgt_webfilter,security,SWG,med,Web.Web,Fortinet,FortiGate web filter logs,"Fortinet FortiGate web filter log - URL category decisions, blocked sites, override events when web filtering is enabled. Feeds the Web data model.",N,,MDI Reference,4/3/2026,human_curated
fortinet,security,NGFW,high,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Fortinet,Fortinet FortiGate firewall logs,Fortinet umbrella sourcetype - typically emitted before subtype routing into fgt_* sourcetypes. Prefer subtype-specific sourcetypes (traffic/event/utm/etc.) for CIM accuracy.,N,,AI Analysis,3/25/2026,human_curated
tripwire:enterprise,security,,high,"Change.All_Changes, Endpoint.Filesystem",Fortra,Tripwire Enterprise change log,"Tripwire Enterprise change manager log - asset configuration change events with rule, severity, baseline comparison. Distinct from open-source tripwire content.",N,,MDI Reference,4/3/2026,human_curated
freeradius,security,IAM,high,Authentication.Authentication,FreeRADIUS,FreeRADIUS authentication logs,FreeRADIUS server log - Access-Request/Accept/Reject events plus accounting Start/Stop records. Foundational Authentication data model source for wireless and VPN AAA.,N,,AI Analysis,3/25/2026,human_curated
genetec:event,security,,med,Authentication.Authentication,Genetec,Genetec Security Center events,"Genetec Security Center event - unified physical security platform records covering access control, video, ALPR, and intrusion.",N,,MDI Reference,4/3/2026,human_curated
github,operational,,med,Change.All_Changes,GitHub,GitHub version control logs,GitHub umbrella sourcetype - typically pre-dates audit log routing. Prefer github:audit for organizations on GitHub Enterprise.,N,,AI Analysis,3/25/2026,human_curated
github:audit,security,,med,"Change.All_Changes, Authentication.Authentication",GitHub,GitHub organization audit log,"GitHub Enterprise audit log - organization and repository administrative events, OAuth/PAT activity, permissions changes. Feeds the Change data model.",N,,MDI Reference,4/3/2026,human_curated
gitlab,operational,,med,Change.All_Changes,GitLab,GitLab DevOps platform logs,GitLab umbrella sourcetype - typically pre-dates subtype routing. Prefer gitlab:audit / gitlab:production / gitlab:api:json for specific log streams.,N,,AI Analysis,3/25/2026,human_curated
gitlab:api:json,security,,med,Web.Web,GitLab,GitLab access logs,"GitLab API request log (api_json.log) - per-API call entries with method, route, status, duration, user. Feeds the Web data model.",N,,AI Analysis,3/25/2026,human_curated
gitlab:application,operational,,low,,GitLab,GitLab application logs,"GitLab application log (application.log/application_json.log) - app-level event stream covering pushes, merge requests, group/membership changes.",N,,AI Analysis,3/25/2026,human_curated
gitlab:audit,security,IAM,high,"Authentication.Authentication, Change.All_Changes",GitLab,GitLab audit logs,"GitLab audit_json log - explicit security audit events: permission changes, project/group settings, two-factor enrollment. Feeds Change data model.",N,,AI Analysis,3/25/2026,human_curated
gitlab:nginx:access,security,,med,Web.Web,GitLab,GitLab access logs,GitLab-bundled nginx access log - HTTP-tier access in front of GitLab. Feeds the Web data model.,N,,AI Analysis,3/25/2026,human_curated
gitlab:production,operational,,low,,GitLab,GitLab application logs,GitLab production_json log - Rails production tier log including Rails request log lines. Application diagnostic stream.,N,,AI Analysis,3/25/2026,human_curated
gitlab:shell,operational,,low,,GitLab,GitLab application logs,"GitLab gitlab-shell log - SSH-based git operations (clone, push, pull) handled by gitlab-shell. Feeds the Web data model when ssh activity is tracked.",N,,AI Analysis,3/25/2026,human_curated
gitlab:unknown,operational,,low,,GitLab,GitLab application logs,GitLab fallback sourcetype emitted by some add-on versions when filename does not match a known pattern. Investigate input and reroute to a specific subtype.,N,,AI Analysis,3/25/2026,human_curated
gitlab:workhorse,operational,,low,,GitLab,GitLab application logs,GitLab workhorse log - reverse-proxy and slow-request handling tier in front of Rails. Operational diagnostics.,N,,AI Analysis,3/25/2026,human_curated
glusterfs_cli,operational,,low,,GlusterFS,GlusterFS storage logs,GlusterFS CLI tool log - volume management commands and outputs from the gluster CLI.,N,,AI Analysis,3/25/2026,human_curated
gsuite,security,CASB,high,"Email.All_Email, Authentication.Authentication",Google,Google Workspace logs,"Google Workspace (G Suite) admin and login activity log - admin, login, drive, calendar, token, mobile, groups, OAuth applications. Feeds Authentication and Change data models.",N,,AI Analysis,3/25/2026,human_curated
gcp:assuredworkloads:regulatory_intercept_ack,security,GRC,med,Change.All_Changes,Google Cloud,GCP Assured Workloads compliance ack,Assured Workloads regulatory acknowledgment events - records operator approvals of compliance-controlled actions in regulated workload environments. GRC audit trail.,N,,AI Analysis,5/27/2026,human_curated
gcp:audit,"security,operational",CSPM,high,"Change.All_Changes, Authentication.Authentication",Google Cloud,GCP Cloud Audit logs,"Google Cloud audit logs - admin activity, data access, system event, and policy denied streams covering control-plane operations across all GCP services. Primary CIM Change and Authentication source for GCP.",N,,MDI Reference,4/3/2026,human_curated
gcp:backupdr:bdr_backup_plan_details,operational,,low,,Google Cloud,GCP Backup and DR plan details,"Backup and DR Service backup plan metadata - schedule, retention, target resource details emitted via Cloud Logging. Operational inventory of protection coverage.",N,,AI Analysis,5/27/2026,human_curated
gcp:backupdr:bdr_backup_restore_jobs,operational,,low,,Google Cloud,GCP Backup and DR restore jobs,"Backup and DR Service backup and restore job execution events - job state, status, source/target, and outcome. Operational evidence of recovery posture.",N,,AI Analysis,5/27/2026,human_curated
gcp:backupdr:bdr_backup_vault_details,operational,,low,,Google Cloud,GCP Backup and DR vault details,"Backup and DR Service backup vault inventory - vault location, immutability/lock state, capacity. Recovery posture and ransomware-resilience evidence.",N,,AI Analysis,5/27/2026,human_curated
gcp:backupdr:bdr_protected_resource,operational,,low,Compute_Inventory.All_Inventory,Google Cloud,GCP Backup and DR protected resources,Backup and DR Service protected resource inventory - which VMs/disks/databases are under a backup plan. Coverage reporting source.,N,,AI Analysis,5/27/2026,human_curated
gcp:cloud_functions,operational,,low,,Google Cloud,GCP Cloud Functions execution logs,"Cloud Functions invocation logs - function start/finish, runtime errors, and stdout/stderr output. Serverless operational telemetry.",N,,AI Analysis,5/27/2026,human_curated
gcp:cloud_scheduler_execution,operational,,low,,Google Cloud,GCP Cloud Scheduler execution logs,"Cloud Scheduler job execution events - cron-style job triggers, success/failure status, retry attempts. Operational job orchestration telemetry.",N,,AI Analysis,5/27/2026,human_curated
gcp:cloudarmor,security,WAF,high,"Web.Web, Network_Traffic.All_Traffic",Google Cloud,GCP Cloud Armor WAF events,"Cloud Armor WAF and DDoS protection events - per-request matched rule actions (allow, deny, throttle) on backend services. Feeds Web and IDS (where threat signatures fire).",N,,MDI Reference,4/3/2026,human_curated
gcp:cloudaudit,"security,operational",CSPM,high,"Change.All_Changes, Authentication.Authentication",Google Cloud,GCP Cloud Audit logs,"Same content as gcp:audit, produced by the Splunk Add-on for Google Cloud Platform when reading from a Cloud Logging sink. The colonless variant google:gcp:cloudaudit was the legacy form.",N,,AI Analysis,5/27/2026,human_curated
gcp:compute:firewall,security,FW,high,Network_Traffic.All_Traffic,Google Cloud,GCP VPC firewall logs,Google Cloud VPC firewall rule logging - per-connection allow/deny decisions on VPC firewall rules with logging enabled. Feeds Network_Traffic.All_Traffic.,N,,MDI Reference,4/3/2026,human_curated
gcp:compute:shielded_vm_integrity,security,,high,Endpoint.Filesystem,Google Cloud,GCP Shielded VM integrity events,"Shielded VM integrity monitoring events - boot/launch attestation results, vTPM measurement mismatches indicating possible tampering. Endpoint integrity signal.",N,,AI Analysis,5/27/2026,human_curated
gcp:compute:vm_extension_policies,"security,operational",CSPM,med,Change.All_Changes,Google Cloud,GCP VM extension policy events,"VM Manager extension policy events - guest policy assignment, recipe execution, package state on Compute Engine instances. Configuration management telemetry.",N,,AI Analysis,5/27/2026,human_curated
gcp:dns,"security,operational",,med,Network_Resolution.DNS,Google Cloud,GCP Cloud DNS query logs,Cloud DNS query logs - per-query records emitted by Cloud DNS public and private zones with logging enabled. Feeds Network_Resolution.DNS.,N,,MDI Reference,4/3/2026,human_curated
gcp:iam:audit,security,IAM,high,"Authentication.Authentication, Change.All_Changes",Google Cloud,GCP IAM policy audit logs,"GCP IAM-scoped subset of Cloud Audit Logs - permission grants, role binding changes, service account key creation/deletion. Critical for Authentication and Change data models.",N,,MDI Reference,4/3/2026,human_curated
gcp:ipsec_event,operational,,low,Network_Traffic.All_Traffic,Google Cloud,GCP VPN IPsec tunnel events,"Cloud VPN IPsec tunnel events - tunnel up/down transitions, IKE phase 1/2 errors. Operational state for hybrid connectivity.",N,,AI Analysis,5/27/2026,human_curated
gcp:kubernetes:audit,security,CSPM,high,"Change.All_Changes, Authentication.Authentication",Google Cloud,GCP Kubernetes Engine audit logs,"GKE Kubernetes API server audit logs - control-plane API calls (kubectl, controllers, service accounts) with verb, resource, user, and authz decision. Primary GKE Change/Authentication source.",N,,MDI Reference,4/3/2026,human_curated
gcp:kubes:cluster_autoscaler_visibility,operational,,low,,Google Cloud,GCP GKE cluster autoscaler events,"GKE Cluster Autoscaler visibility events - scale-up/down decisions, unschedulable pod reasons, node-pool resize activity. Operational autoscaler diagnostics.",N,,AI Analysis,5/27/2026,human_curated
gcp:maintenance:maintenance_events,operational,,low,,Google Cloud,GCP infrastructure maintenance events,"Compute Engine planned maintenance events - host maintenance notifications, live-migration markers, scheduled reboot windows. Operational continuity input.",N,,AI Analysis,5/27/2026,human_curated
gcp:nat_flow,"security,operational",,med,Network_Traffic.All_Traffic,Google Cloud,GCP Cloud NAT flow logs,Cloud NAT VPC flow logs - source-NAT translation records for outbound traffic from private VMs/serverless. Provides source IP/port to translated IP/port mapping required to attribute external traffic.,N,,AI Analysis,5/27/2026,human_curated
gcp:networkanalyzer:analyzer_reports,"security,operational",CSPM,med,,Google Cloud,GCP Network Intelligence reports,"Network Intelligence Center analyzer findings - configuration drift, connectivity issues, and posture problems detected across the customer VPC topology.",N,,AI Analysis,5/27/2026,human_curated
gcp:pubsub,operational,,none,,Google Cloud,GCP Pub/Sub message logs,"Cloud Pub/Sub message and topic operational logs - publish/acknowledge activity, dead-letter routing. Used for ingestion-pipeline observability rather than the message payloads.",N,,MDI Reference,4/3/2026,human_curated
gcp:redis:redis,operational,,low,Databases.All_Databases,Google Cloud,GCP Memorystore for Redis logs,"Google Cloud Memorystore for Redis operational logs: command execution, errors, slow log entries, and connection events.",N,,AI Analysis,5/27/2026,human_curated
gcp:router_event,operational,,low,,Google Cloud,GCP Cloud Router events,Cloud Router events - BGP session state changes and dynamic-route activity for hybrid (Cloud VPN / Interconnect) connections. Operational telemetry.,N,,AI Analysis,5/27/2026,human_curated
gcp:securitycenter:finding,security,CSPM,high,"Alerts.Alerts, Vulnerabilities.Vulnerabilities",Google Cloud,GCP Security Command Center finding,Security Command Center findings - normalized security/compliance findings from native SCC detectors and integrated partner sources. Feeds Alerts and Vulnerabilities data models.,N,,MDI Reference,4/3/2026,human_curated
gcp:storage:access,"security,operational",CSPM,med,Data_Access.All_Data_Access_Logs,Google Cloud,GCP Cloud Storage access logs,"Cloud Storage usage and access logs - per-request bucket access including operation, principal, response code. Critical for bucket data-exfil and misconfig forensics.",N,,MDI Reference,4/3/2026,human_curated
gcp:vpc_flow,security,,high,Network_Traffic.All_Traffic,Google Cloud,GCP VPC flow logs,GCP VPC Flow Logs - 5-tuple traffic samples between VM/serverless endpoints inside VPCs. Feeds Network_Traffic.All_Traffic for cloud east-west and egress visibility.,N,,AI Analysis,5/27/2026,human_curated
google:gcp:agent,operational,,low,,Google Cloud,GCP Splunk add-on agent logs,"Splunk Add-on for Google Cloud Platform internal agent log - add-on health, polling status, and error conditions. Operational diagnostic for the integration itself.",N,,AI Analysis,5/27/2026,human_curated
google:gcp:cloudaudit,"security,operational",CSPM,high,"Change.All_Changes, Authentication.Authentication",Google Cloud,GCP Cloud Audit logs (legacy add-on),Legacy sourcetype for Google Cloud audit logs produced by older versions of the Splunk Add-on for Google Cloud Platform. Same Admin Activity / Data Access / System Event payloads as gcp:cloudaudit.,N,,AI Analysis,5/27/2026,human_curated
google:gcp:compute:syslog,operational,,low,,Google Cloud,GCP Compute Engine syslog,"Compute Engine guest VM syslog forwarded via the Splunk Add-on for GCP - underlying OS syslog content, typically Linux. CIM mappings follow the guest OS, not GCP.",N,,AI Analysis,5/27/2026,human_curated
google:gcp:compute:vpc_flows,security,,high,Network_Traffic.All_Traffic,Google Cloud,GCP VPC flow logs (legacy add-on),Legacy GCP VPC Flow Logs sourcetype from earlier Splunk Add-on for GCP versions. Same flow payload as gcp:vpc_flow.,N,,AI Analysis,5/27/2026,human_curated
google:gcp:resource:metadata,operational,,low,Compute_Inventory.All_Inventory,Google Cloud,GCP resource metadata inventory,"Cloud Asset Inventory metadata snapshots - resource hierarchy, IAM bindings, labels for VMs, buckets, projects, and other assets. Feeds the Inventory data model.",N,,AI Analysis,5/27/2026,human_curated
google:gcp:router_event,operational,,low,,Google Cloud,GCP Cloud Router events (legacy),Legacy Cloud Router events sourcetype from older versions of the Splunk Add-on for GCP. Same content as gcp:router_event.,N,,AI Analysis,5/27/2026,human_curated
osconfig_asb_perf,operational,,low,,Google Cloud,GCP OS Config performance data,GCP OS Config agent advanced security baseline (ASB) performance telemetry - guest agent metrics related to policy enforcement timing. Diagnostic only.,N,,AI Analysis,3/25/2026,human_curated
osconfig_telemetry,operational,,low,,Google Cloud,GCP OS Config performance data,"GCP OS Config guest agent telemetry - operational metrics about policy fetch, package state evaluation, and patch task execution. Diagnostic only.",N,,AI Analysis,3/25/2026,human_curated
grafana:server,operational,,none,Application_State.All_Application_State,Grafana,Grafana server logs,"Grafana server log - dashboard query activity, authentication, and admin operations.",N,,MDI Reference,4/3/2026,human_curated
openvas,security,VMS,high,Vulnerabilities.Vulnerabilities,Greenbone,OpenVAS vulnerability scan results,Greenbone OpenVAS / Greenbone Vulnerability Manager scan results - host vulnerability findings with severity and reference. Feeds the Vulnerabilities data model.,N,,AI Analysis,3/25/2026,human_curated
haproxy,operational,,med,"Web.Proxy, Network_Traffic.All_Traffic",HAProxy,HAProxy load balancer logs,HAProxy load balancer log - per-request frontend/backend access entries with backend selection and timing. Feeds the Web data model.,N,,AI Analysis,3/25/2026,human_curated
harness:audit,security,,med,Change.All_Changes,Harness,Harness CI/CD audit events,"Harness CD/Platform audit log - pipeline run, RBAC, secret, and admin activity events from the Harness API.",N,,MDI Reference,4/3/2026,human_curated
consul,operational,,med,Change.All_Changes,HashiCorp,HashiCorp Consul service mesh logs,"HashiCorp Consul service mesh log - service registration, health-check results, ACL token events. Operational service-discovery telemetry.",N,,AI Analysis,3/25/2026,human_curated
nomad,operational,,med,Change.All_Changes,HashiCorp,HashiCorp Nomad orchestration logs,"HashiCorp Nomad orchestrator log - job submission, allocation placement, task state transitions across the cluster.",N,,AI Analysis,3/25/2026,human_curated
terraform,operational,,med,Change.All_Changes,HashiCorp,Terraform infrastructure as code logs,"HashiCorp Terraform CLI / Cloud run log - plan/apply output, resource lifecycle actions, drift detection. Infrastructure-as-code change record.",N,,AI Analysis,3/25/2026,human_curated
vault,security,PAM,high,"Authentication.Authentication, Change.Audit_Logs",HashiCorp,HashiCorp Vault secrets management logs,"HashiCorp Vault audit log - secrets engine, auth method, and admin path activity with request/response hashing. Primary PAM source for HashiCorp Vault.",N,,AI Analysis,3/25/2026,human_curated
bigfix,security,EDR,med,"Endpoint.Processes, Updates.All_Updates",HCL,HCL BigFix endpoint management logs,"HCL BigFix (formerly IBM) endpoint management log - relevance evaluation, action execution, patch application activity.",N,,AI Analysis,3/25/2026,human_curated
honeywell:pmd,operational,,none,Performance.All_Performance,Honeywell,Honeywell PMD process data,Honeywell Process Manager Data (PMD) historian export - operational process data from Honeywell DCS environments.,N,,MDI Reference,4/3/2026,human_curated
db2:audit,security,,med,"Data_Access.All_Data_Access_Logs, Authentication.Authentication",IBM,IBM Db2 audit logs,"IBM Db2 audit log - SQL access, authorization, security, validation event categories. Feeds the Change data model for Db2 instances.",N,,MDI Reference,4/3/2026,human_curated
websphere,security,,med,Web.Web,IBM,IBM WebSphere server logs,"IBM WebSphere Application Server log - SystemOut/SystemErr, FFDC, security, and runtime container messages.",N,,AI Analysis,3/25/2026,human_curated
imperva:cloudwaf,security,WAF,high,"Web.Web, Network_Traffic.All_Traffic",Imperva,Imperva Cloud WAF events,"Imperva Cloud WAF event log - per-request decision (allow/block/captcha/challenge), attack signature category, and HTTP context. Feeds the Web data model.",N,,MDI Reference,4/3/2026,human_curated
imperva:dam:syslog,security,,high,Data_Access.All_Data_Access_Logs,Imperva,Imperva DAM database activity,"Imperva Database Activity Monitor syslog - SQL query inspection, sensitive table access, and policy violation events.",N,,MDI Reference,4/3/2026,human_curated
imperva:waf:syslog,security,WAF,high,"Web.Web, Intrusion_Detection.IDS_Attacks",Imperva,Imperva WAF syslog events,Imperva on-prem SecureSphere WAF syslog - same per-request decision schema as cloud WAF but from the appliance deployment.,N,,MDI Reference,4/3/2026,human_curated
infoblox:audit,security,IAM,med,Change.All_Changes,Infoblox,Infoblox admin audit logs,"Infoblox NIOS admin audit log - configuration changes, login activity, and DDI object modifications. Feeds Change and Authentication data models.",N,,MDI Reference,4/3/2026,human_curated
infoblox:dhcp,"security,operational",,med,Network_Traffic.All_Traffic,Infoblox,Infoblox DHCP lease logs,"Infoblox DHCP server log - lease offer, request, ack, decline activity. Critical for IP-to-MAC-to-asset attribution.",N,,MDI Reference,4/3/2026,human_curated
infoblox:dns,"security,operational",,high,Network_Resolution.DNS,Infoblox,Infoblox DNS query logs,"Infoblox DNS server query log - per-query name, type, response code, source IP. Foundational Network_Resolution.DNS source.",N,,MDI Reference,4/3/2026,human_curated
infoblox:threat,security,,high,"Alerts.Alerts, Network_Resolution.DNS",Infoblox,Infoblox threat intelligence,Infoblox BloxOne Threat Defense / RPZ-based threat events - DNS-layer threat block decisions with category and indicator.,N,,MDI Reference,4/3/2026,human_curated
bind,security,,med,Network_Resolution.DNS,ISC,BIND DNS server logs,"ISC BIND DNS server log - query, response, recursion, and error events. Feeds Network_Resolution.DNS when query logging is enabled.",N,,AI Analysis,3/25/2026,human_curated
named,security,,med,Network_Resolution.DNS,ISC,Named DNS server logs,"ISC named (BIND) generic sourcetype - same DNS server activity as bind, with the alternative file/process-derived name.",N,,AI Analysis,3/25/2026,human_curated
ivanti:itsm,operational,,none,Ticket_Management.All_Ticket_Management,Ivanti,Ivanti ITSM ticket data,"Ivanti Service Manager (Neurons / HEAT) ITSM ticket data - incident, change, problem records.",N,,MDI Reference,4/3/2026,human_curated
landesk,operational,,low,"Inventory.Inventory, Updates.All_Updates",Ivanti,Ivanti (LANDesk) endpoint management logs,"Ivanti (formerly LANDesk) Endpoint Manager log - patching, software distribution, and inventory events.",N,,AI Analysis,3/25/2026,human_curated
mobileiron,operational,,med,"Inventory.Inventory, Authentication.Authentication",Ivanti,MobileIron MDM logs,"MobileIron (now Ivanti EPMM) MDM log - device enrollment, compliance, app distribution, and admin activity.",N,,AI Analysis,3/25/2026,human_curated
jamf,operational,,low,"Inventory.Inventory, Updates.All_Updates",Jamf,Jamf macOS/iOS management logs,"Jamf Pro macOS/iOS MDM log - device enrollment, policy execution, inventory collection, and admin activity.",N,,AI Analysis,3/25/2026,human_curated
jenkins,operational,,med,Change.All_Changes,Jenkins,Jenkins CI/CD pipeline logs,"Jenkins CI/CD pipeline log - build run results, queue activity, plugin actions, audit-trail entries when Audit Trail plugin is enabled.",N,,AI Analysis,3/25/2026,human_curated
artifactory:access,"security,operational",,med,Data_Access.All_Data_Access_Logs,JFrog,JFrog Artifactory access log,"JFrog Artifactory access log - per-request artifact download/upload/delete with user, repo, and result. Feeds Web and Change data models.",N,,MDI Reference,4/3/2026,human_curated
artifactory:audit,security,,med,"Change.All_Changes, Authentication.Authentication",JFrog,JFrog Artifactory audit log,"JFrog Artifactory audit log - admin/security configuration changes, permission, and user lifecycle events.",N,,MDI Reference,4/3/2026,human_curated
juniper,security,NGFW,high,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Juniper,Juniper firewall logs,"Juniper SRX / Junos firewall syslog - session, IDP, AV, antispam, content filtering events. Feeds Network_Traffic, IDS data models.",N,,AI Analysis,3/25/2026,human_curated
kaspersky,security,EPP,high,Malware.Malware_Operations,Kaspersky,Kaspersky antivirus logs,"Kaspersky endpoint security log - object detected, scan completed, signature update events from Kaspersky Security Center.",N,,AI Analysis,3/25/2026,human_curated
keeper,security,PAM,high,"Authentication.Authentication, Change.Audit_Logs",Keeper Security,Keeper password manager logs,"Keeper Security event log - vault access, sharing, admin activity, and policy enforcement events from the enterprise Keeper tenant.",N,,AI Analysis,3/25/2026,human_curated
keeper_security,security,PAM,high,Authentication.Authentication,Keeper Security,Keeper password manager logs,Underscore-named alternative for the keeper sourcetype - same Keeper Security enterprise event payload.,N,,AI Analysis,3/25/2026,human_curated
docker:keycloak,security,IAM,high,Authentication.Authentication,Keycloak,Keycloak authentication logs (Docker),"Keycloak logs collected from a Dockerized deployment - same authentication/admin event payload as keycloak, namespaced by the container runtime that captured it.",N,,AI Analysis,3/25/2026,human_curated
apiserver,operational,,low,,Kubernetes,Kubernetes API server logs,Kubernetes API server log - controller manager and kube-apiserver process logs from /var/log/kubernetes or container stdout. Operational/diagnostic core control-plane source.,N,,AI Analysis,3/25/2026,human_curated
ecs:containerinsights:performance,operational,,low,Performance.All_Performance,Kubernetes,Kubernetes metrics,"AWS ECS / EKS Container Insights performance log group - CPU, memory, network, and disk metrics per cluster/node/pod. Operational metric stream.",N,,AI Analysis,3/25/2026,human_curated
k8s:container,operational,,med,Endpoint.Processes,Kubernetes,Kubernetes container logs,Kubernetes container stdout/stderr log stream collected from /var/log/containers - per-pod application output. Free-form application data; CIM mapping depends on payload.,N,,AI Analysis,3/25/2026,human_curated
k8s:events,operational,,med,Alerts.Alerts,Kubernetes,Kubernetes event logs,"Kubernetes Event objects - cluster-level events (pod scheduling, image pull failures, OOM kills, node not ready). Operational with security overlap for pod admission failures.",N,,AI Analysis,3/25/2026,human_curated
k8s:node,operational,,med,Inventory.Inventory,Kubernetes,Kubernetes node logs,"Kubernetes node-level logs - kubelet, container runtime (containerd/cri-o/docker) messages from worker nodes. Operational core source.",N,,AI Analysis,3/25/2026,human_curated
k8s:pod,operational,,med,Change.All_Changes,Kubernetes,Kubernetes pod logs,Kubernetes pod-scoped log catch-all - typically reframed container stdout/stderr with pod metadata attached by the collector. Application-payload dependent CIM mapping.,N,,AI Analysis,3/25/2026,human_curated
kubernetes,operational,,med,"Change.All_Changes, Alerts.Alerts",Kubernetes,Kubernetes orchestration logs,Generic Kubernetes umbrella sourcetype - usually emitted by older collectors before subtype routing. Prefer k8s:* or kubes:* per-subsystem sourcetypes.,N,,AI Analysis,3/25/2026,human_curated
kubes:application,operational,,low,,Kubernetes,Kubernetes/container logs,Application container output collected by the Splunk OpenTelemetry / Splunk Connect for Kubernetes - the workload's stdout/stderr stream tagged with Kubernetes metadata.,N,,AI Analysis,3/25/2026,human_curated
kubes:container-report,operational,,low,Compute_Inventory.All_Inventory,Kubernetes,Kubernetes container inventory report,"Splunk Connect for Kubernetes container inventory report - container state, image, restart count snapshots. Inventory data model contributor.",N,,AI Analysis,5/27/2026,human_curated
kubes:dataplane,operational,,low,Performance.All_Performance,Kubernetes,Kubernetes metrics,"Kubernetes data-plane (worker) logs from Splunk Connect for Kubernetes - kubelet, container runtime, kube-proxy. Operational/diagnostic.",N,,AI Analysis,3/25/2026,human_curated
kubes:fluent-bit,operational,,low,,Kubernetes,Kubernetes Fluent Bit collector logs,Fluent Bit collector internal log stream - the collection agent's own diagnostic and forwarding status messages.,N,,AI Analysis,5/27/2026,human_curated
kubes:host,operational,,low,,Kubernetes,Kubernetes/container logs,"Kubernetes worker host operating-system logs collected alongside cluster logs - syslog, journald data from the underlying nodes.",N,,AI Analysis,3/25/2026,human_curated
kubes:performance,operational,,low,Performance.All_Performance,Kubernetes,Kubernetes metrics,Kubernetes performance metric stream from Splunk Connect for Kubernetes - resource usage at node/pod/container granularity. Operational metric data.,N,,AI Analysis,3/25/2026,human_curated
lastpass,security,PAM,high,"Authentication.Authentication, Change.Audit_Logs",LastPass,LastPass password manager logs,"LastPass enterprise audit log - vault item activity, sharing, admin and security policy events.",N,,AI Analysis,3/25/2026,human_curated
lenel:access,security,,med,Authentication.Authentication,Lenel,Lenel OnGuard access control,"Lenel OnGuard physical access control system event - badge swipe accept/reject, door forced/held, alarm events.",N,,MDI Reference,4/3/2026,human_curated
alternatives,operational,,low,Updates.Updates,Linux,Package manager logs,"Linux /etc/alternatives update-alternatives logs - tracks symbolic-link based switches between equivalent packages (e.g., default JDK, default editor). Low-value operational telemetry.",N,,AI Analysis,3/25/2026,human_curated
apparmor,security,EDR,med,Intrusion_Detection.IDS_Attacks,Linux,AppArmor security policy logs,"AppArmor LSM log - mandatory access control profile enforcement on Debian/Ubuntu/SUSE. Records ALLOWED, DENIED, and AUDIT events for confined applications.",N,,AI Analysis,3/25/2026,human_curated
apport,operational,,low,,Linux,Ubuntu crash report logs,"Ubuntu crash report daemon logs from /var/log/apport.log - records application crashes captured for diagnostic upload. Operational debugging data, minimal security value.",N,,AI Analysis,3/25/2026,human_curated
apt,operational,,low,Updates.All_Updates,Linux,APT package manager logs,"Debian/Ubuntu APT package manager logs from /var/log/apt/history.log and term.log. Records install/upgrade/remove operations, useful for software inventory and change tracking.",N,,AI Analysis,3/25/2026,human_curated
apt_term,operational,,low,Updates.Updates,Linux,Package manager logs,Debian/Ubuntu APT terminal output captured to /var/log/apt/term.log - verbose dpkg invocation transcripts that complement the structured history.log entries.,N,,AI Analysis,3/25/2026,human_curated
auditd,security,EDR,high,"Authentication.Authentication, Change.All_Changes, Intrusion_Detection.IDS_Attacks",Linux,Linux auditd logs,Linux audit daemon raw log from /var/log/audit/audit.log - the underlying source feeding most linux:audit:* parsed sourcetypes via the Splunk Add-on for Unix and Linux.,N,,AI Analysis,3/25/2026,human_curated
boot,operational,,low,,Linux,Linux kernel/boot messages,Linux /var/log/boot.log entries - early userspace and service initialization messages captured during boot. Operational diagnostic data.,N,,AI Analysis,3/25/2026,human_curated
choose_repo,operational,,low,Updates.Updates,Linux,Package manager logs,Repository selection log produced by Red Hat / Fedora subscription manager when a host picks a content repo mirror. Operational only.,N,,AI Analysis,3/25/2026,human_curated
chrony,operational,,low,Performance.Timesync,Linux,Chrony time sync daemon logs,"Chrony NTP daemon log - time sync source, stratum, offset adjustments. Operational, but critical for SIEM correctness so event timestamps make sense.",N,,AI Analysis,5/27/2026,human_curated
citrix:netscaler:syslog,operational,,low,,Linux,Linux citrix:netscaler:syslog,"Citrix NetScaler / ADC syslog stream - load balancer, traffic, SSL/VPN, and audit events. Feeds Network_Traffic, Web, and Authentication when AAA is enabled.",N,,AI Analysis,3/25/2026,human_curated
config_file,operational,,low,Change.All_Changes,Linux,Splunk_TA_nix config file monitor,Generic Splunk_TA_nix configuration file monitor sourcetype - emits the contents of any /etc file listed in inputs.conf for compliance evidence.,N,,AI Analysis,5/27/2026,human_curated
cta_linux_agent,operational,,low,,Linux,Linux cta_linux_agent-2,"Cisco Telemetry Agent (formerly Tetration / Secure Workload) Linux sensor log - workload telemetry, flow and process visibility. Security-relevant micro-segmentation source.",N,,AI Analysis,3/25/2026,human_curated
cta_linux_agent-2024-04-25T,operational,,low,,Linux,Linux cta_linux_agent-2024-04-25T,Rotation-suffixed file artifact for cta_linux_agent - same content as the base sourcetype; presence indicates ISO-timestamp rolled log files.,N,,AI Analysis,3/25/2026,human_curated
